id	SPE_0xA_AR01	SPE_0xA_AR02	SPE_0xA_AR03	SPE_0xA_AR04	SPE_0xA_AR05	SPE_0xA_AR06	SPE_0xA_AR07	SPE_0xA_AR08	SPE_0xA_AR09	SPE_0xA_AR10
EMPTY	14691	10286	6276	5927	5691	3778	3655	4086	5001	3002
S0_M_T1	38	23	16	14	7	2	2	4	5	4
S0_M_T10	85	67	51	45	62	42	32	48	57	22
S0_M_T100	4	2	1	4	1	0	1	0	1	1
S0_M_T1000	13	8	11	5	5	3	2	3	1	1
S0_M_T1001	57	39	38	36	37	23	24	14	12	2
S0_M_T1002	21	29	13	13	14	15	17	12	31	15
S0_M_T1003	26	12	15	17	25	3	5	31	38	13
S0_M_T1004	24	33	22	32	36	1	2	12	12	5
S0_M_T1005	4	5	3	3	3	2	3	7	0	1
S0_M_T1006	144	122	69	74	76	40	52	46	59	31
S0_M_T1007	37	14	31	17	25	25	38	31	29	20
S0_M_T1008	18	23	20	17	14	12	6	9	5	1
S0_M_T1009	93	81	52	47	49	28	28	20	28	9
S0_M_T101	4	0	1	1	1	4	6	1	5	10
S0_M_T1010	8	6	4	7	0	2	5	2	2	6
S0_M_T1011	0	0	0	0	0	0	0	2	0	0
S0_M_T1012	1	0	0	0	0	0	0	0	0	0
S0_M_T1013	120	97	86	85	72	40	63	48	80	21
S0_M_T1014	54	39	34	40	46	29	29	29	36	13
S0_M_T1015	31	27	24	20	29	28	18	14	31	25
S0_M_T1016	4	5	0	2	2	1	2	1	1	0
S0_M_T1017	108	75	68	58	61	37	57	53	48	26
S0_M_T1018	66	52	50	36	56	37	23	71	75	42
S0_M_T1019	6	5	4	5	5	0	0	1	3	1
S0_M_T102	78	58	45	35	32	11	6	12	5	8
S0_M_T1020	30	21	20	12	22	11	13	16	23	12
S0_M_T1021	2	1	0	1	1	1	0	0	0	0
S0_M_T1022	124	90	66	65	70	58	64	69	86	31
S0_M_T1023	27	16	11	13	15	10	19	14	19	18
S0_M_T1024	33	27	7	9	9	4	9	1	2	2
S0_M_T1025	48	25	34	29	40	16	12	40	55	29
S0_M_T1026	20	13	12	12	13	7	2	2	1	1
S0_M_T1027	124	70	86	88	104	51	53	78	62	19
S0_M_T1028	17	16	10	13	13	21	20	11	21	5
S0_M_T1029	67	49	43	38	19	13	10	7	5	2
S0_M_T103	0	0	0	0	0	0	1	0	0	2
S0_M_T1030	22	8	9	14	8	9	7	5	8	3
S0_M_T1031	28	26	28	26	24	9	6	0	4	3
S0_M_T1032	100	87	44	50	49	30	40	51	36	7
S0_M_T1033	18	10	8	11	8	6	3	0	6	3
S0_M_T1034	106	78	51	47	51	32	18	17	19	13
S0_M_T1035	76	78	61	62	70	55	52	74	120	68
S0_M_T1036	4	6	10	9	13	0	1	2	0	0
S0_M_T1037	15	6	10	7	3	0	2	7	5	1
S0_M_T1038	21	25	20	25	30	6	3	6	5	3
S0_M_T1039	188	115	71	61	72	40	43	45	34	14
S0_M_T104	0	1	0	0	0	0	0	0	0	0
S0_M_T1040	16	14	9	12	13	7	5	8	8	0
S0_M_T1041	99	64	72	65	74	13	14	26	49	31
S0_M_T1042	6	3	3	2	8	2	5	4	8	6
S0_M_T1043	4	2	4	6	3	3	2	3	0	0
S0_M_T1044	7	5	5	5	5	4	6	6	11	1
S0_M_T1045	68	54	45	52	37	15	20	11	16	4
S0_M_T1046	2	2	4	5	2	2	0	1	2	0
S0_M_T1047	366	323	227	236	269	133	131	100	76	24
S0_M_T1048	316	235	182	185	151	70	85	93	103	40
S0_M_T1049	10	3	5	4	11	5	4	3	3	3
S0_M_T105	4	3	1	2	1	1	0	0	0	0
S0_M_T1050	484	395	312	309	347	170	173	220	245	123
S0_M_T1051	134	102	86	85	112	34	56	39	49	19
S0_M_T1052	443	353	337	342	435	161	79	59	51	29
S0_M_T1053	1	1	1	0	0	0	0	0	0	0
S0_M_T1054	11	7	6	5	4	1	2	5	3	0
S0_M_T1055	137	102	84	70	86	29	28	19	18	4
S0_M_T1056	68	49	32	29	26	22	24	17	24	9
S0_M_T1057	60	35	27	17	22	21	19	14	13	11
S0_M_T1058	37	43	30	38	43	5	5	10	4	3
S0_M_T1059	551	389	352	353	416	149	108	121	98	35
S0_M_T106	18	3	7	7	3	0	1	2	1	2
S0_M_T1060	64	45	24	22	34	15	17	10	10	8
S0_M_T1061	0	0	0	0	0	0	0	0	0	0
S0_M_T1062	28	23	13	10	4	4	0	5	1	1
S0_M_T1063	12	9	10	6	7	2	8	3	2	5
S0_M_T1064	27	14	17	22	27	9	16	29	13	4
S0_M_T1065	22	16	12	11	22	2	6	13	7	2
S0_M_T1066	38	45	36	34	23	19	16	25	24	7
S0_M_T1067	12	6	12	12	18	5	4	8	8	0
S0_M_T1068	26	30	24	11	15	14	9	7	4	3
S0_M_T1069	23	14	11	22	17	2	5	35	34	12
S0_M_T107	17	10	4	6	4	6	1	3	2	0
S0_M_T1070	5	0	3	4	5	1	0	1	1	1
S0_M_T1071	13	19	19	8	14	7	5	4	1	2
S0_M_T1072	231	188	177	192	196	159	129	126	106	43
S0_M_T1073	43	42	32	28	38	28	25	30	38	5
S0_M_T1074	25	17	18	13	21	6	13	12	10	6
S0_M_T1075	71	62	39	40	44	28	16	15	10	2
S0_M_T1076	62	56	60	62	67	32	30	74	60	17
S0_M_T1077	12	12	9	23	28	4	2	6	6	1
S0_M_T1078	87	54	65	52	75	19	19	95	128	49
S0_M_T1079	16	13	10	12	9	6	8	3	9	4
S0_M_T108	0	1	1	0	0	0	0	0	1	0
S0_M_T1080	6	5	6	7	7	0	0	1	3	1
S0_M_T1081	7	4	4	10	8	2	3	6	13	1
S0_M_T1082	164	135	81	101	109	66	74	58	60	23
S0_M_T1083	158	104	67	78	93	53	48	72	102	60
S0_M_T1084	10	11	12	6	18	11	16	5	10	0
S0_M_T1085	8	15	18	13	12	14	15	14	18	6
S0_M_T1086	85	56	52	50	70	36	22	18	14	9
S0_M_T1087	53	36	34	38	50	5	6	8	14	0
S0_M_T1088	34	26	15	25	24	20	21	24	20	9
S0_M_T1089	39	35	36	36	56	22	17	31	16	5
S0_M_T109	41	25	15	13	9	4	3	5	6	1
S0_M_T1090	79	67	43	55	51	30	14	20	7	4
S0_M_T1091	61	42	23	24	24	11	20	13	14	6
S0_M_T1092	0	0	0	0	0	1	0	0	0	0
S0_M_T1093	128	76	53	59	73	27	29	33	21	9
S0_M_T1094	112	91	68	77	91	41	27	56	47	22
S0_M_T1095	41	39	28	38	48	21	15	32	24	4
S0_M_T1096	202	149	149	125	175	99	111	169	188	77
S0_M_T1097	47	13	12	14	22	3	3	18	14	7
S0_M_T1098	42	33	43	28	45	20	32	40	41	10
S0_M_T1099	19	8	16	23	22	5	9	13	14	12
S0_M_T11	16	14	8	11	14	10	9	8	7	9
S0_M_T110	0	0	0	0	0	0	0	0	0	0
